commit_hash,test_time,toal_time
946da9d66480c27a221e6ef1282c88d7f81ee8af,12.045,191
e88831c2367622ed95f0452433ccf84ad33d7106,11.221,183
7f44071c6289553cc3329a9feb3e22115bae7318,10.273,156
f9886befb7b88b6a48bab35d5c1dfa7afeac8c2b,14.019,197
82cfbe685ebf0cf5db057c7f29216da5b5040bdf,12.222,168
d4fca5edf6b3ee1636458243ce6b20ce217d722d,11.257,179
2ffd47c332f49824fabf65fe3d310826e4fffa57,17.222,199
cc16fba7eb26c9d6282e5f705e7c378907b19db8,11.012,243
b702664be09458c06c7270520c4500b5764fc036,10.868,281
debe33db276da7683f6e7098191f740025300a16,10.767,240
